Timestamp,pres,temp1,umid,temp2,V450,B500,G550,Y570,O600,R650,temps1,temps2,lumina
1/27/2022 0:00,994.836.731,3.515.625,9.999.694.824,-234.375,0,0,1.325.722,1.177.117,1.226.686,0,3.515.625,-234.375,3.729.525
1/27/2022 1:00,9.945.331.421,375,9.999.694.824,-2.265.625,0,0,1.325.722,1.177.117,1.226.686,0,375,-2.265.625,3.729.525
1/27/2022 2:00,9.944.954.834,3.828.125,9.999.694.824,-1,0,0,1.325.722,1.177.117,1.226.686,0,3.828.125,-1,3.729.525
1/27/2022 3:00,9.939.738.159,3.984.375,9.999.694.824,-828.125,0,0,0,0,0,0,3.984.375,-828.125,0
1/27/2022 4:00,9.938.706.055,40.625,9.999.694.824,-4.609.375,0,0,1.325.722,1.177.117,1.226.686,0,40.625,-4.609.375,3.729.525
1/27/2022 5:00,9.939.553.833,4.140.625,9.999.694.824,-421.875,150.049,0,1.325.722,1.177.117,1.226.686,0,4.140.625,-421.875,5.230.014
1/27/2022 6:00,9.937.575.684,421.875,9.999.694.824,-4.921.875,0,0,1.325.722,1.177.117,1.226.686,0,421.875,-4.921.875,3.729.525
1/27/2022 7:00,9.939.039.307,4.296.875,9.999.694.824,-3.359.375,13.504.406,11.401.589,7.954.334,5.885.583,6.133.429,10.346.662,4.296.875,-3.359.375,55.226.002
1/27/2022 8:00,9.941.963.501,4.375,9.999.694.824,-3.984.375,5.217.202.187,5.130.714.893,4.008.984.089,3.601.976.395,3.433.493.614,357.534.647,4.375,-3.984.375,2.496.771.765
1/27/2022 9:00,9.942.181.396,4.453.125,9.999.694.824,7.734.375,1.438.669.395,1.512.502.098,1.349.055.004,1.252.452.087,122.153.368,1.165.494.061,4.453.125,7.734.375,7.939.706.325
1/27/2022 10:00,9.940.727.539,4.453.125,8.861.694.336,16.953.125,3.977.197.647,4.221.682.358,389.179.039,3.653.534.317,3.917.298.508,3.694.907.761,4.453.125,16.953.125,2.335.641.098
1/27/2022 11:00,9.942.200.928,4.453.125,834.197.998,3.109.375,1.871.960.297,1.424.490.051,1.458.049.164,1.271.197.586,1.605.418.854,140.631.546,4.453.125,3.109.375,9.037.431.412
1/27/2022 12:00,9.934.838.867,4.609.375,7.241.821.289,41.796.875,3.102.859.192,2.208.697.968,2.523.838.654,2.104.378.662,2.882.053.528,2.262.415.924,4.609.375,41.796.875,1.508.424.393
1/27/2022 13:00,9.929.863.281,4.609.375,6.533.813.477,5.75,3.014.855.347,2.451.023.102,2.657.447.815,2.301.591.492,2.861.697.693,2.337.367.554,4.609.375,5.75,15.623.983
1/27/2022 14:00,9.923.883.667,46.875,7.308.959.961,46.015.625,2.457.025.452,1.890.592.194,2.218.809.052,1.863.947.906,2.406.876.984,1.812.250.214,46.875,46.015.625,126.495.018
1/27/2022 15:00,9.918.328.247,46.875,8.147.277.832,29.296.875,8.957.772.827,6.522.360.229,6.774.175.262,570.254.097,7.335.826.111,6.133.271.027,46.875,29.296.875,4.142.594.643
1/27/2022 16:00,9.918.328.857,4.765.625,9.028.015.137,1.9375,4.616.256.332,3.305.809.021,3.484.925.842,2.670.759.773,3.270.344.162,2.472.162.437,4.765.625,1.9375,1.982.025.757
1/27/2022 17:00,9.914.487.305,4.765.625,9.999.694.824,-3.828.125,2.102.185.726,1.402.395.487,1.010.200.381,776.896.954,886.893.809,1.011.673.689,4.765.625,-3.828.125,7.190.246.045
1/27/2022 18:00,9.911.091.919,484.375,9.999.694.824,-16.484.375,0,0,0,0,0,0,484.375,-16.484.375,0
1/27/2022 19:00,99.031.427,484.375,9.999.694.824,-19.375,0,0,0,0,0,0,484.375,-19.375,0
1/27/2022 20:00,9.897.639.465,48.828.125,9.430.999.756,-81.640.625,0,0,0,0,0,0,48.828.125,-81.640.625,0
1/27/2022 21:00,989.213.623,4.921.875,8.862.304.688,3.046.875,0,0,0,0,0,0,4.921.875,3.046.875,0
1/27/2022 22:00,9.888.710.327,4.921.875,9.493.103.027,-12.421.875,0,0,0,0,0,0,4.921.875,-12.421.875,0
1/27/2022 23:00,9.884.380.493,0.5,9.999.694.824,-31.640.625,0,0,0,0,0,0,0.5,-31.640.625,0
1/28/2022 0:00,9.880.873.413,0.5,9.999.694.824,-2.921.875,0,0,1.325.722,1.177.117,1.226.686,0,0.5,-2.921.875,3.729.525
1/28/2022 1:00,9.877.105.713,0.5,9.999.694.824,-26.953.125,0,0,1.325.722,1.177.117,1.226.686,0,0.5,-26.953.125,3.729.525
1/28/2022 2:00,9.873.002.319,5.078.125,9.999.694.824,-25.625,0,0,1.325.722,1.177.117,1.226.686,0,5.078.125,-25.625,3.729.525
1/28/2022 3:00,9.868.574.829,5.078.125,9.999.694.824,-25.390.625,0,0,0,0,0,0,5.078.125,-25.390.625,0
1/28/2022 4:00,9.864.334.106,5.078.125,9.999.694.824,-25.546.875,0,0,0,0,0,0,5.078.125,-25.546.875,0
1/28/2022 5:00,9.862.608.643,5.078.125,9.999.694.824,-2.75,0,0,0,0,0,0,5.078.125,-2.75,0
1/28/2022 6:00,9.863.479.004,515.625,9.999.694.824,-15.859.375,150.049,0,1.325.722,1.177.117,1.226.686,0,515.625,-15.859.375,5.230.014
